"Date";"Volume";"Trades";"Bar Size";"High";"Low";"Open";"Close";"Delta T/D";"Delta Aggressor";"H/L Side";"O/C Side";"O/C Size";"Max Volume";"M/V Price";"M/V Trades";"M/V Delta T/D";"M/V Delta Aggressor";"Max Trade";"Max Tick";"Ticks Number";"OI Delta";"Hidden Volume";"TPO High";"TPO Low";"COT High";"COT Low";"Max Delta T/D";"Max Delta Aggressor"
"2023-01-10 00:00:00";"1477558";"1043336";"210";"3943,75";"3891,5";"3914,5";"3941,25";"6694";"1594";"1";"1";"107";"17588";"3919";"12994";"1652";"1096";"-127";"651";"9876";"18583";"0";"3929,75";"3904";"-427";"4916";"3965";"2827"
"2023-01-09 00:00:00";"1648713";"1051114";"255";"3973,25";"3909,75";"3918,5";"3913,5";"7137";"5535";"-1";"-1";"20";"13454";"3913,5";"5485";"604";"-558";"231";"905";"9018";"21123";"0";"3954,5";"3911";"-17662";"1328";"2954";"3488"
"2023-01-06 00:00:00";"1937348";"1286320";"440";"3928,75";"3819";"3833";"3913,75";"15242";"6378";"1";"1";"323";"23103";"3915,75";"9235";"-1351";"769";"-257";"704";"10523";"-526";"0";"3928,5";"3862,75";"3172";"8866";"-2480";"-1815"
"2023-01-05 00:00:00";"1635384";"1108846";"253";"3885,5";"3822,5";"3871";"3832,75";"550";"474";"-1";"-1";"153";"34289";"3829,25";"16157";"5565";"3165";"332";"-920";"10372";"-775";"0";"3844,75";"3825,5";"-536";"-3933";"5565";"-5363"
"2023-01-04 00:00:00";"1858956";"1308690";"240";"3896,25";"3836,5";"3842,75";"3871,25";"10384";"12544";"1";"1";"114";"19449";"3864";"14355";"503";"319";"330";"-591";"10832";"2696";"0";"3876,25";"3847,75";"-2988";"6240";"3629";"2887"
"2023-01-03 00:00:00";"1715451";"1194758";"370";"3906,75";"3814,5";"3895";"3843,25";"-13133";"-2455";"-1";"-1";"207";"16806";"3845";"9057";"-1980";"-496";"283";"785";"12210";"641";"0";"3867,5";"3817,25";"-9694";"-2790";"3343";"-3057"
"2022-12-30 00:00:00";"1295813";"842789";"199";"3871";"3821,5";"3869,75";"3868";"19719";"5729";"-1";"-1";"7";"19685";"3844,75";"14131";"925";"89";"-858";"1051";"8462";"18306";"0";"3852,25";"3824,5";"5717";"15492";"-5837";"-5865"
"2022-12-29 00:00:00";"1088988";"692085";"307";"3882,75";"3806,25";"3811";"3869,25";"-3280";"-13988";"1";"1";"233";"23582";"3872";"9803";"1734";"860";"-293";"932";"7520";"1337";"0";"3881,5";"3857,25";"-6975";"-13701";"-4145";"-2475"
"2022-12-28 00:00:00";"1203515";"822872";"283";"3875";"3804,5";"3858";"3810,25";"-16479";"-13557";"-1";"-1";"191";"15560";"3808";"8541";"-516";"376";"-148";"-512";"8852";"16206";"0";"3848,5";"3805";"-15533";"5187";"-2634";"-1525"
"2022-12-27 00:00:00";"975163";"683218";"254";"3900,5";"3837,25";"3878";"3856";"-1877";"-8227";"-1";"-1";"88";"14019";"3863";"10312";"293";"87";"228";"343";"8371";"17230";"0";"3870";"3849,5";"-11451";"-4808";"4173";"2127"
"2022-12-23 00:00:00";"1332382";"986074";"206";"3872,5";"3821,25";"3850";"3868,25";"-3842";"-2344";"1";"1";"73";"13932";"3869,75";"7524";"664";"-688";"128";"452";"10847";"-10497";"0";"3871,25";"3848";"-4196";"-1928";"3614";"1643"
"2022-12-22 00:00:00";"1752962";"1151792";"526";"3919,75";"3788,5";"3915";"3847,75";"-7308";"10848";"-1";"-1";"269";"15859";"3833,25";"10827";"-795";"425";"-587";"-679";"9458";"-2903";"0";"3862,75";"3806,75";"9728";"19684";"-4027";"-4025"
"2022-12-21 00:00:00";"1465599";"891178";"254";"3918,75";"3855,5";"3857,25";"3914";"-4721";"-4631";"1";"1";"227";"34471";"3904";"19791";"-1057";"-1467";"301";"-1097";"8900";"-4162";"0";"3918,5";"3892";"-5299";"-4697";"5286";"4832"
"2022-12-20 00:00:00";"1487117";"1025562";"253";"3866,5";"3803,5";"3842,75";"3853,5";"-11895";"2561";"1";"1";"43";"25382";"3849,25";"14487";"266";"558";"135";"-370";"11387";"-14957";"0";"3863,5";"3839,75";"6349";"6664";"-2577";"1226"
"2022-12-19 00:00:00";"1328351";"862559";"288";"3899";"3827,25";"3874";"3841,75";"-30135";"-4293";"-1";"-1";"129";"12717";"3859,75";"8436";"-621";"-575";"215";"549";"8786";"5677";"0";"3898,5";"3844,25";"-5488";"7580";"-2078";"-1495"
"2022-12-16 00:00:00";"1822596";"1250812";"318";"3934,5";"3855,25";"3920";"3872";"-21572";"-5574";"-1";"-1";"192";"20846";"3878";"9145";"-1928";"-694";"153";"692";"11694";"40095";"0";"3893,5";"3863,75";"-5961";"-7547";"2345";"1881"
