Volume,Trades,Bar Size,High,Low,Open,Close,Delta T/D,Delta Aggressor,H/L Side,O/C Side,O/C Size,Max Volume,M/V Price,M/V Trades,M/V Delta T/D,M/V Delta Aggressor,Max Trade,Max Tick,Ticks Number,OI Delta,TPO High,TPO Low,COT High,COT Low,Max Delta T/D,Max Delta Aggressor,returns
1587143,715727,134,2946.5,2913.25,2923.25,2923.75,-19815,5131,-1,1,2,42412,2923.5,16551,6108,4110,0,0,0,-19312,2933.0,2915.5,-3955,9405,6108,4110,0.00862440707201384
1429468,675835,223,2930.75,2875.25,2883.25,2924.0,6428,3922,1,1,163,34350,2924.5,12704,-2376,52,0,0,0,-1369,2928.5,2915.0,2300,7283,4449,3333,8.550662676354293e-05
1446756,719161,156,2890.5,2851.75,2866.25,2883.25,39434,17908,1,1,68,31915,2888.0,9194,2961,2397,0,0,0,-8072,2890.0,2869.5,-2845,16190,6523,3585,-0.013936388508891895
1493435,769375,159,2899.5,2860.0,2882.75,2866.75,-23087,-6761,-1,-1,64,26116,2872.0,12896,108,-166,0,0,0,6395,2884.75,2863.0,-13049,-2301,-3059,2187,-0.005722708748807759
1807092,975258,314,2888.5,2810.25,2831.0,2882.0,28356,26012,1,1,204,31865,2870.0,16581,3171,1507,0,0,0,-20863,2878.5,2860.0,11148,32825,4795,-3561,0.005319612801953477
2727972,1371605,412,2936.75,2834.0,2920.25,2851.5,-3870,3582,-1,-1,275,22075,2909.75,11448,1981,1107,0,0,0,36223,2936.5,2862.25,1417,12623,-2841,1731,-0.010582928521859825
1425608,691571,143,2939.75,2904.25,2931.25,2920.0,-47248,-3874,-1,-1,45,30538,2924.0,14009,1328,140,0,0,0,-802,2937.25,2919.75,182,17516,4388,2198,0.024022444327546966
1131019,526179,159,2932.5,2893.0,2893.25,2932.25,1865,7667,1,1,156,50093,2924.5,19956,2165,-2657,0,0,0,-8118,2928.5,2921.75,0,7998,4958,3158,0.004195205479452069
1418406,663785,153,2932.25,2894.25,2921.25,2895.5,-40858,-31888,-1,-1,103,29565,2908.0,13193,-457,811,0,0,0,11120,2920.25,2904.5,-33637,143,-3991,-2354,-0.012533037769630884
1244655,566990,160,2932.25,2892.5,2893.0,2922.25,-12113,295,1,1,117,39016,2924.25,14842,-4972,-1082,0,0,0,26324,2928.75,2919.75,-5832,-687,-5351,2532,0.009238473493351718
